Date,HPI,Treatment,Target,Name,Sample,Biorep,Baseline,MNE_fc
20250825,10,tagG,FRK1,10hpi-tagG,38,1,Mock,0.446935983
20250825,10,tagG,WRKY29,10hpi-tagG,38,1,Mock,1.898072472
20250825,10,wfgD,FRK1,10hpi-wfgD,9,1,Mock,0.260253493
20250825,10,wfgD,WRKY29,10hpi-wfgD,9,1,Mock,1.641704728
20250825,24,Mock,FRK1,24hpi-Mock,10,1,Mock,1
20250825,24,Mock,WRKY29,24hpi-Mock,10,1,Mock,1
20250825,24,OBC,FRK1,24hpi-OBC,23,1,Mock,2.46924175
20250825,24,OBC,WRKY29,24hpi-OBC,23,1,Mock,0.508674306
20250825,24,WT,FRK1,24hpi-WT,39,1,Mock,1.088232725
20250825,24,WT,WRKY29,24hpi-WT,39,1,Mock,2.689080499
20250825,24,rmlC,FRK1,24hpi-rmlC,24,1,Mock,0.974949332
20250825,24,rmlC,WRKY29,24hpi-rmlC,24,1,Mock,0.224223474
20250825,24,tagG,FRK1,24hpi-tagG,40,1,Mock,3.700685197
20250825,24,tagG,WRKY29,24hpi-tagG,40,1,Mock,3.851950277
20250825,24,wfgD,FRK1,24hpi-wfgD,11,1,Mock,0.367359016
20250825,24,wfgD,WRKY29,24hpi-wfgD,11,1,Mock,1.78772737
20250825,48,Mock,FRK1,48hpi-Mock,41,1,Mock,1
20250825,48,Mock,WRKY29,48hpi-Mock,41,1,Mock,1
20250825,48,OBC,FRK1,48hpi-OBC,26,1,Mock,0.167398474
20250825,48,OBC,WRKY29,48hpi-OBC,26,1,Mock,0.52121053
20250825,48,WT,FRK1,48hpi-WT,25,1,Mock,0.514668092
20250825,48,WT,WRKY29,48hpi-WT,25,1,Mock,3.625483661
20250825,48,rmlC,FRK1,48hpi-rmlC,42,1,Mock,1.56156561
20250825,48,rmlC,WRKY29,48hpi-rmlC,42,1,Mock,0.948793052
20250825,48,tagG,FRK1,48hpi-tagG,27,1,Mock,0.192088054
20250825,48,tagG,WRKY29,48hpi-tagG,27,1,Mock,0.769606434
20250825,48,wfgD,FRK1,48hpi-wfgD,43,1,Mock,0.19115191
20250825,48,wfgD,WRKY29,48hpi-wfgD,43,1,Mock,1.437556987
20250825,72,Mock,FRK1,72hpi-Mock,12,1,Mock,1
20250825,72,Mock,WRKY29,72hpi-Mock,12,1,Mock,1
20250825,72,OBC,FRK1,72hpi-OBC,44,1,Mock,4.382342774
20250825,72,OBC,WRKY29,72hpi-OBC,44,1,Mock,2.328651715
20250825,72,WT,FRK1,72hpi-WT,28,1,Mock,1.1880898
20250825,72,WT,WRKY29,72hpi-WT,28,1,Mock,4.182853546
20250825,72,rmlC,FRK1,72hpi-rmlC,13,1,Mock,0.123721309
20250825,72,rmlC,WRKY29,72hpi-rmlC,13,1,Mock,0.780678082
20250825,72,tagG,FRK1,72hpi-tagG,14,1,Mock,0.720252131
20250825,72,tagG,WRKY29,72hpi-tagG,14,1,Mock,0.94941802
20250825,72,wfgD,FRK1,72hpi-wfgD,29,1,Mock,4.515476207
20250825,72,wfgD,WRKY29,72hpi-wfgD,29,1,Mock,3.749522637
20250825,0,Mock,FRK1,0hpi-Mock,16,1,Time0,1
20250825,0,Mock,WRKY29,0hpi-Mock,16,1,Time0,1
20250825,0,OBC,FRK1,0hpi-OBC,31,1,Time0,1
20250825,0,OBC,WRKY29,0hpi-OBC,31,1,Time0,1
20250825,0,WT,FRK1,0hpi-WT,1,1,Time0,1
20250825,0,WT,WRKY29,0hpi-WT,1,1,Time0,1
20250825,0,rmlC,FRK1,0hpi-rmlC,17,1,Time0,1
20250825,0,rmlC,WRKY29,0hpi-rmlC,17,1,Time0,1
20250825,0,tagG,FRK1,0hpi-tagG,32,1,Time0,1
20250825,0,tagG,WRKY29,0hpi-tagG,32,1,Time0,1
20250825,0,wfgD,FRK1,0hpi-wfgD,18,1,Time0,1
20250825,0,wfgD,WRKY29,0hpi-wfgD,18,1,Time0,1
20250825,2,Mock,FRK1,2hpi-Mock,19,1,Time0,3.43388022
20250825,2,Mock,WRKY29,2hpi-Mock,19,1,Time0,0.880133321
20250825,2,OBC,FRK1,2hpi-OBC,33,1,Time0,13.85865212
20250825,2,OBC,WRKY29,2hpi-OBC,33,1,Time0,1.279525558
20250825,2,WT,FRK1,2hpi-WT,2,1,Time0,85.75983499
20250825,2,WT,WRKY29,2hpi-WT,2,1,Time0,3.129321243
20250825,2,rmlC,FRK1,2hpi-rmlC,34,1,Time0,309.8325434
20250825,2,rmlC,WRKY29,2hpi-rmlC,34,1,Time0,17.94451406
20250825,2,tagG,FRK1,2hpi-tagG,20,1,Time0,2.869938472
20250825,2,tagG,WRKY29,2hpi-tagG,20,1,Time0,0.15699857
20250825,2,wfgD,FRK1,2hpi-wfgD,21,1,Time0,1.433589787
20250825,2,wfgD,WRKY29,2hpi-wfgD,21,1,Time0,0.277088243
20250825,6,Mock,FRK1,6hpi-Mock,3,1,Time0,0.560046618
20250825,6,Mock,WRKY29,6hpi-Mock,3,1,Time0,0.820003729
20250825,6,OBC,FRK1,6hpi-OBC,5,1,Time0,4.875269995
20250825,6,OBC,WRKY29,6hpi-OBC,5,1,Time0,0.59139641
