DATE,METHOD,OD,STRAIN,GENOTYPE,TIME,ABS,LUX
20250530,Overnight,0.01,epsE,Single,21.50,0.3628,352
20250530,Overnight,0.01,epsE,Single,21.75,0.36465,357.75
20250530,Overnight,0.01,epsE,Single,22.00,0.3674,360.25
20250530,Overnight,0.01,epsE,Single,22.25,0.3699,371.25
20250530,Overnight,0.01,epsE,Single,22.50,0.372025,356.5
20250530,Overnight,0.01,epsE,Single,22.75,0.374175,363.5
20250530,Overnight,0.01,epsE,Single,23.00,0.3769,349.75
20250530,Overnight,0.01,epsE,Single,23.25,0.378925,351.25
20250530,Overnight,0.01,epsE,Single,23.50,0.3815,353.5
20250530,Overnight,0.01,epsE,Single,23.75,0.384675,372.25
20250530,Overnight,0.01,epsE,Single,24.00,0.387425,364.75
20250530,Overnight,0.01,rmlC,Single,0.00,0,0
20250530,Overnight,0.01,rmlC,Single,0.25,0,3.5
20250530,Overnight,0.01,rmlC,Single,0.50,0,2.75
20250530,Overnight,0.01,rmlC,Single,0.75,2.5E-05,0.75
20250530,Overnight,0.01,rmlC,Single,1.00,0.0002,6.25
20250530,Overnight,0.01,rmlC,Single,1.25,0.000375,3.5
20250530,Overnight,0.01,rmlC,Single,1.50,0.000775,10.5
20250530,Overnight,0.01,rmlC,Single,1.75,0.0009,7.25
20250530,Overnight,0.01,rmlC,Single,2.00,0.001175,11.25
20250530,Overnight,0.01,rmlC,Single,2.25,0.0016,7.25
20250530,Overnight,0.01,rmlC,Single,2.50,0.00195,15
20250530,Overnight,0.01,rmlC,Single,2.75,0.002775,14.75
20250530,Overnight,0.01,rmlC,Single,3.00,0.003725,15.75
20250530,Overnight,0.01,rmlC,Single,3.25,0.00485,18.75
20250530,Overnight,0.01,rmlC,Single,3.50,0.00625,24.5
20250530,Overnight,0.01,rmlC,Single,3.75,0.008275,30.25
20250530,Overnight,0.01,rmlC,Single,4.00,0.0108,38.25
20250530,Overnight,0.01,rmlC,Single,4.25,0.014175,39.5
20250530,Overnight,0.01,rmlC,Single,4.50,0.018175,56
20250530,Overnight,0.01,rmlC,Single,4.75,0.0233,72.75
20250530,Overnight,0.01,rmlC,Single,5.00,0.02975,76.75
20250530,Overnight,0.01,rmlC,Single,5.25,0.03765,81.75
20250530,Overnight,0.01,rmlC,Single,5.50,0.0465,105.5
20250530,Overnight,0.01,rmlC,Single,5.75,0.057,122.75
20250530,Overnight,0.01,rmlC,Single,6.00,0.06815,148
20250530,Overnight,0.01,rmlC,Single,6.25,0.079825,130.25
20250530,Overnight,0.01,rmlC,Single,6.50,0.091175,159.5
20250530,Overnight,0.01,rmlC,Single,6.75,0.10435,196.25
20250530,Overnight,0.01,rmlC,Single,7.00,0.11845,208
20250530,Overnight,0.01,rmlC,Single,7.25,0.133325,247.25
20250530,Overnight,0.01,rmlC,Single,7.50,0.14905,271.25
20250530,Overnight,0.01,rmlC,Single,7.75,0.166375,293.25
20250530,Overnight,0.01,rmlC,Single,8.00,0.185825,342
20250530,Overnight,0.01,rmlC,Single,8.25,0.2088,392.25
20250530,Overnight,0.01,rmlC,Single,8.50,0.232575,441
20250530,Overnight,0.01,rmlC,Single,8.75,0.25895,484.75
20250530,Overnight,0.01,rmlC,Single,9.00,0.288225,527
20250530,Overnight,0.01,rmlC,Single,9.25,0.319925,574.75
20250530,Overnight,0.01,rmlC,Single,9.50,0.35105,630.75
20250530,Overnight,0.01,rmlC,Single,9.75,0.383125,679.5
20250530,Overnight,0.01,rmlC,Single,10.00,0.4134,706.5
20250530,Overnight,0.01,rmlC,Single,10.25,0.440375,740.75
20250530,Overnight,0.01,rmlC,Single,10.50,0.46775,792.75
20250530,Overnight,0.01,rmlC,Single,10.75,0.49,805.25
20250530,Overnight,0.01,rmlC,Single,11.00,0.50905,855.25
20250530,Overnight,0.01,rmlC,Single,11.25,0.533375,851.5
20250530,Overnight,0.01,rmlC,Single,11.50,0.55785,927.75
20250530,Overnight,0.01,rmlC,Single,11.75,0.582125,984.75
20250530,Overnight,0.01,rmlC,Single,12.00,0.605425,991.75
20250530,Overnight,0.01,rmlC,Single,12.25,0.622075,1026.25
20250530,Overnight,0.01,rmlC,Single,12.50,0.640475,1046.5
20250530,Overnight,0.01,rmlC,Single,12.75,0.650125,1063.75
20250530,Overnight,0.01,rmlC,Single,13.00,0.662275,1120.5
20250530,Overnight,0.01,rmlC,Single,13.25,0.66715,1082.5
20250530,Overnight,0.01,rmlC,Single,13.50,0.678775,1103
20250530,Overnight,0.01,rmlC,Single,13.75,0.687,1145.25
20250530,Overnight,0.01,rmlC,Single,14.00,0.6972,1143.25
20250530,Overnight,0.01,rmlC,Single,14.25,0.70455,1177.75
20250530,Overnight,0.01,rmlC,Single,14.50,0.711475,1189.75
20250530,Overnight,0.01,rmlC,Single,14.75,0.71675,1171.75
20250530,Overnight,0.01,rmlC,Single,15.00,0.7188,1146.5
20250530,Overnight,0.01,rmlC,Single,15.25,0.723775,1152.75
20250530,Overnight,0.01,rmlC,Single,15.50,0.72755,1187.75
20250530,Overnight,0.01,rmlC,Single,15.75,0.733625,1163.75
20250530,Overnight,0.01,rmlC,Single,16.00,0.738875,1153.25
20250530,Overnight,0.01,rmlC,Single,16.25,0.7461,1175
20250530,Overnight,0.01,rmlC,Single,16.50,0.75405,1192.25
20250530,Overnight,0.01,rmlC,Single,16.75,0.7563,1207.75
20250530,Overnight,0.01,rmlC,Single,17.00,0.7635,1197.75
20250530,Overnight,0.01,rmlC,Single,17.25,0.769675,1182
20250530,Overnight,0.01,rmlC,Single,17.50,0.776625,1210
20250530,Overnight,0.01,rmlC,Single,17.75,0.779825,1161.75
20250530,Overnight,0.01,rmlC,Single,18.00,0.788775,1236.5
20250530,Overnight,0.01,rmlC,Single,18.25,0.790975,1195.25
20250530,Overnight,0.01,rmlC,Single,18.50,0.802,1199.75
20250530,Overnight,0.01,rmlC,Single,18.75,0.804025,1186
20250530,Overnight,0.01,rmlC,Single,19.00,0.8089,1207
20250530,Overnight,0.01,rmlC,Single,19.25,0.8145,1189.25
20250530,Overnight,0.01,rmlC,Single,19.50,0.82495,1198.25
20250530,Overnight,0.01,rmlC,Single,19.75,0.829375,1241.75
20250530,Overnight,0.01,rmlC,Single,20.00,0.83435,1218.75
20250530,Overnight,0.01,rmlC,Single,20.25,0.841675,1218
20250530,Overnight,0.01,rmlC,Single,20.50,0.84555,1238
20250530,Overnight,0.01,rmlC,Single,20.75,0.850775,1185.5
20250530,Overnight,0.01,rmlC,Single,21.00,0.856925,1272.75
20250530,Overnight,0.01,rmlC,Single,21.25,0.858825,1253.25
20250530,Overnight,0.01,rmlC,Single,21.50,0.860525,1245.5
20250530,Overnight,0.01,rmlC,Single,21.75,0.86635,1214.75
20250530,Overnight,0.01,rmlC,Single,22.00,0.87305,1251
20250530,Overnight,0.01,rmlC,Single,22.25,0.876175,1223
20250530,Overnight,0.01,rmlC,Single,22.50,0.882475,1195.25
20250530,Overnight,0.01,rmlC,Single,22.75,0.884825,1251.75
20250530,Overnight,0.01,rmlC,Single,23.00,0.894875,1203.75
20250530,Overnight,0.01,rmlC,Single,23.25,0.897725,1227.5
20250530,Overnight,0.01,rmlC,Single,23.50,0.90705,1196.25
20250530,Overnight,0.01,rmlC,Single,23.75,0.910675,1216
20250530,Overnight,0.01,rmlC,Single,24.00,0.915225,1209.75
20250530,Overnight,0.01,spsA,Single,0.00,0,0
20250530,Overnight,0.01,spsA,Single,0.25,0,0
20250530,Overnight,0.01,spsA,Single,0.50,0,0
20250530,Overnight,0.01,spsA,Single,0.75,0,4.5
20250530,Overnight,0.01,spsA,Single,1.00,0,5.5
20250530,Overnight,0.01,spsA,Single,1.25,0,11.25
20250530,Overnight,0.01,spsA,Single,1.50,2.5E-05,6.5
20250530,Overnight,0.01,spsA,Single,1.75,0,24
20250530,Overnight,0.01,spsA,Single,2.00,0.000325,19.75
20250530,Overnight,0.01,spsA,Single,2.25,0.000925,16
20250530,Overnight,0.01,spsA,Single,2.50,0.001475,24.25
20250530,Overnight,0.01,spsA,Single,2.75,0.00245,28
20250530,Overnight,0.01,spsA,Single,3.00,0.003,36.5
20250530,Overnight,0.01,spsA,Single,3.25,0.003825,29.75
20250530,Overnight,0.01,spsA,Single,3.50,0.004625,45.5
20250530,Overnight,0.01,spsA,Single,3.75,0.005775,53.25
20250530,Overnight,0.01,spsA,Single,4.00,0.006725,56.75
20250530,Overnight,0.01,spsA,Single,4.25,0.00795,55.25
20250530,Overnight,0.01,spsA,Single,4.50,0.008825,88
20250530,Overnight,0.01,spsA,Single,4.75,0.01045,79.5
20250530,Overnight,0.01,spsA,Single,5.00,0.01125,108.5
20250530,Overnight,0.01,spsA,Single,5.25,0.0128,104.5
20250530,Overnight,0.01,spsA,Single,5.50,0.013925,132.75
20250530,Overnight,0.01,spsA,Single,5.75,0.01605,136.5
20250530,Overnight,0.01,spsA,Single,6.00,0.018825,173.75
20250530,Overnight,0.01,spsA,Single,6.25,0.020475,176.25
20250530,Overnight,0.01,spsA,Single,6.50,0.023225,186.25
20250530,Overnight,0.01,spsA,Single,6.75,0.025875,206.25
20250530,Overnight,0.01,spsA,Single,7.00,0.02835,231.25
20250530,Overnight,0.01,spsA,Single,7.25,0.0314,252.25
20250530,Overnight,0.01,spsA,Single,7.50,0.03325,278.5
20250530,Overnight,0.01,spsA,Single,7.75,0.035325,265.5
20250530,Overnight,0.01,spsA,Single,8.00,0.0369,310
20250530,Overnight,0.01,spsA,Single,8.25,0.03865,320.75
20250530,Overnight,0.01,spsA,Single,8.50,0.040075,354
