file_name,Well,strain
Eyach_R2_P1,D4,WT
Eyach_R2_P1,D5,RmlC-FS
Eyach_R2_P1,D6,tagG
Col0_R1_P3,A5,WT
Col0_R1_P3,A6,rmlC
Col0_R1_P3,B1,RmlC-FS
Col0_R1_P3,C1,rmlC
Col0_R1_P3,C4,WT
Col0_R1_P3,D3,epsE
Col0_R1_P3,D4,OBC
Col0_R1_P2,A4,wfgD
Col0_R1_P2,A6,tagG
Col0_R1_P2,B2,buffer
Col0_R1_P2,B6,OBC
Col0_R1_P2,D2,epsE
Col0_R1_P2,D5,RmlC-FS
Eyach_R2_P4,A1,wfgD
Eyach_R2_P4,A2,rmlC
Eyach_R2_P4,A3,wfgD
Eyach_R2_P4,A4,rmlC
Eyach_R2_P4,A5,RmlC-FS
Eyach_R2_P4,A6,rmlC
Eyach_R2_P4,B1,OBC
Eyach_R2_P4,B2,epsE
Eyach_R2_P4,B4,WT
Eyach_R2_P4,B5,epsE
Eyach_R2_P4,C1,WT
Eyach_R2_P4,C2,wfgD
Eyach_R2_P4,C3,wfgD
Eyach_R2_P4,C4,tagG
Eyach_R2_P4,C5,RmlC-FS
Eyach_R2_P4,C6,OBC
Eyach_R2_P4,D2,buffer
Eyach_R2_P4,D3,OBC
Eyach_R2_P4,D4,epsE
Col0_R1_P1,A2,OBC
Col0_R1_P1,B1,tagG
Col0_R1_P1,B2,wfgD
Col0_R1_P1,B3,buffer
Col0_R1_P1,B4,wfgD
Col0_R1_P1,B5,WT
Col0_R1_P1,C2,tagG
Col0_R1_P1,C3,buffer
Col0_R1_P1,D4,rmlC
Col0_R1_P1,D5,tagG
Col0_R1_P1,D6,epsE
