"contrast","parameter","shapiro_p","levene_p","method","anova_p","welch_p","kruskal_p","p.adj","p.adj.signif","statistic","lwr","upr"
"WT-spsA","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.0445263971292386,"*",0.206584066680888,0.00385775074513492,0.409310382616641
"tagH-tagG","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.0135255083053364,"*",-0.245606773101621,-0.448333089037374,-0.0428804571658684
"wfgD-tagG","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.0668235037229791,"NS",-0.192983055726635,-0.395709371662388,0.00974326020911823
"WT-tagG","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.98144853435344,"NS",-0.0473193274607172,-0.25004564339647,0.155406988475036
"wfgD-tagH","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.96890765455035,"NS",0.0526237173749866,-0.150102598560766,0.25535003331074
"WT-tagH","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.05709383181075,"NS",0.198287445640904,-0.00443887029484877,0.401013761576657
"WT-wfgD","r",0.57658645859466,0.304332625306986,"Tukey",0.00118312818908665,0.00321385546097608,0.0293473615500162,0.247118702987142,"NS",0.145663728265918,-0.0570625876698354,0.348390044201671
"rmlC-epsE","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.994694908279709,"NS",-1.54320522676817,-9.96969816280516,6.88328770926882
"spsA-epsE","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.342264631402097,"NS",5.48853877971663,-2.93795415632036,13.9150317157536
"tagG-epsE","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.992862737621445,"NS",-1.63209028944085,-10.0585832254778,6.79440264659614
"tagH-epsE","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.455110741530412,"NS",4.93627024164141,-3.49022269439557,13.3627631776784
"wfgD-epsE","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.99970399953474,"NS",0.919582729480892,-7.5069102065561,9.34607566551788
"WT-epsE","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.999958396013016,"NS",-0.656338881981732,-9.08283181801872,7.77015405405526
"spsA-rmlC","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.132515839561586,"NS",7.03174400648479,-1.3947489295522,15.4582369425218
"tagG-rmlC","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.9999999997266,"NS",-0.0888850626726807,-8.51537799870967,8.33760787336431
"tagH-rmlC","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.190014162667421,"NS",6.47947546840958,-1.94701746762741,14.9059684044466
"wfgD-rmlC","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.94624440090437,"NS",2.46278795624906,-5.96370497978793,10.889280892286
"WT-rmlC","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.999759747808219,"NS",0.886866344786435,-7.53962659125055,9.31335928082342
"tagG-spsA","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.124838646493244,"NS",-7.12062906915747,-15.5471220051945,1.30586386687951
"tagH-spsA","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.999984954439304,"NS",-0.552268538075211,-8.9787614741122,7.87422439796178
"wfgD-spsA","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.53855195363055,"NS",-4.56895605023573,-12.9954489862727,3.85753688580125
"WT-spsA","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.233983689043583,"NS",-6.14487766169836,-14.5713705977353,2.28161527433863
"tagH-tagG","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.179543597975026,"NS",6.56836053108226,-1.85813240495473,14.9948534671193
"wfgD-tagG","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.937108257616876,"NS",2.55167301892174,-5.87481991711525,10.9781659549587
"WT-tagG","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.99958408163843,"NS",0.975751407459116,-7.45074152857787,9.4022443434961
"wfgD-tagH","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.668814912876237,"NS",-4.01668751216052,-12.4431804481975,4.40980542387647
"WT-tagH","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.323130884315044,"NS",-5.59260912362315,-14.0191020596601,2.83388381241384
"WT-wfgD","t_mid",0.0901594545644653,0.233825829266288,"Tukey",0.0478718372192133,0.198146084524032,0.034304403822867,0.994068498438867,"NS",-1.57592161146262,-10.0024145474996,6.85057132457436
