strain,HTF_length_haplotype,OBC_presence
plate26.B2,1803,Present
plate26.B3,1830,Absent
plate26.B4,1803,Present
plate26.B5,1245,Present
plate26.B6,1245,Present
plate26.B7,1803,Present
plate26.B8,NA,Present
plate26.C1,1245,Present
plate26.C10,NA,Absent
plate26.C2,1803,Present
plate26.C3,1803,Present
plate26.C4,1245,Present
plate26.C5,1245,Present
plate26.C7,1803,Present
plate26.C9,NA,Absent
plate26.D1,1245,Present
plate26.D2,1803,Present
plate26.D3,1803,Present
plate26.D4,1245,Present
plate26.D5,1245,Present
plate26.D6,1803,Present
plate26.D7,1803,Present
plate26.D8,1803,Present
plate26.D9,NA,Absent
plate26.E1,1245,Present
plate26.E10,1803,Present
plate26.E11,1803,Absent
plate26.E2,1803,Present
plate26.E3,1803,Present
plate26.E4,1245,Present
plate26.E5,1245,Present
plate26.E6,1803,Present
plate26.E7,1803,Present
plate26.E8,1803,Present
plate26.E9,1803,Present
plate26.F1,1245,Present
plate26.F10,1803,Present
plate26.F2,1803,Present
plate26.F3,1803,Present
plate26.F4,1245,Present
plate26.F5,1245,Present
plate26.F6,NA,Absent
plate26.F7,NA,Absent
plate26.F8,1383,Absent
plate26.F9,1803,Present
plate26.G1,1245,Present
plate26.G10,1383,Absent
plate26.G2,1803,Present
plate26.G3,1803,Present
plate26.G4,1245,Present
plate26.G5,1245,Present
plate26.G6,1803,Present
plate26.G7,1383,Absent
plate26.G8,1803,Present
plate26.G9,1383,Absent
plate26.H1,1245,Present
plate26.H2,1803,Present
plate26.H3,1803,Present
plate26.H4,1245,Present
plate26.H5,1245,Present
plate26.H6,1803,Present
plate26.H7,1803,Present
plate26.H8,1245,Present
plate26.H9,1803,Present
plate27.A1,1803,Present
plate27.A2,1803,Present
plate27.A3,1803,Present
plate27.A6,1803,Present
plate27.A7,1803,Present
plate27.B1,1383,Absent
plate27.B2,1383,Absent
plate27.B3,1383,Absent
plate27.B4,1803,Present
plate27.B6,1803,Present
plate27.B7,1803,Present
plate27.C5,NA,Absent
plate27.C6,1803,Present
plate27.D5,1245,Present
plate27.D6,1245,Present
plate27.E1,1803,Present
plate27.E2,1803,Present
plate27.E5,1803,Present
plate27.E6,1803,Present
plate27.F2,1383,Absent
plate27.F3,1803,Present
plate27.F4,1803,Present
plate27.F5,1803,Present
plate27.F6,1803,Present
plate27.G3,1383,Absent
plate27.G5,1803,Present
plate27.G6,1803,Present
plate27.H4,1383,Absent
plate27.H5,1383,Absent
plate3.A1,1245,Present
plate3.A10,1245,Present
plate3.A11,1245,Present
plate3.A12,1245,Present
plate3.A2,1245,Present
plate3.A3,1803,Present
plate3.A4,1803,Present
plate3.A5,1803,Present
plate3.A6,1803,Present
plate3.A7,1803,Present
plate3.A8,1803,Present
plate3.A9,1830,Absent
plate3.B1,1245,Present
plate3.B10,1245,Present
plate3.B11,1245,Present
plate3.B12,1830,Absent
plate3.B2,1245,Present
plate3.B4,1803,Present
plate3.B5,1803,Present
plate3.B6,1803,Present
plate3.B7,1803,Present
plate3.B8,1803,Present
plate3.B9,1830,Absent
plate3.C1,1383,Absent
plate3.C10,1803,Present
plate3.C11,1803,Present
plate3.C12,1830,Absent
plate3.C2,1245,Present
plate3.C3,1245,Present
plate3.C4,1803,Present
plate3.C5,NA,Absent
plate3.C6,1803,Present
plate3.C8,1803,Present
plate3.C9,1245,Present
plate3.D1,1245,Present
plate3.D10,1803,Present
plate3.D11,1803,Present
plate3.D2,1245,Present
plate3.D4,1803,Present
plate3.D5,NA,Absent
plate3.D6,1803,Present
plate3.D8,1803,Present
plate3.D9,1245,Present
plate3.E1,NA,Absent
plate3.E10,1803,Present
plate3.E11,1245,Present
plate3.E2,1803,Present
plate3.E4,1245,Present
plate3.E5,1383,Absent
plate3.E6,1803,Present
plate3.E7,1245,Present
plate3.E8,1245,Present
plate3.E9,1803,Present
plate3.F1,1383,Absent
plate3.F10,1245,Present
plate3.F11,1803,Present
plate3.F12,1803,Present
plate3.F2,1383,Absent
plate3.F5,1383,Absent
plate3.F6,1803,Present
plate3.F7,1245,Present
plate3.F8,1803,Present
plate3.G1,1245,Present
plate3.G11,NA,Absent
plate3.G12,1245,Present
plate3.G2,1803,Present
plate3.G3,1383,Absent
plate3.G4,1803,Present
plate3.G5,1245,Present
plate3.G6,1803,Present
plate3.G7,1803,Present
plate3.G8,1383,Absent
plate3.G9,1383,Absent
plate3.H1,1245,Present
plate3.H2,1383,Absent
plate3.H5,1245,Present
