tnseq_ID,baseMean_Ey,log2FoldChange_Ey,pvalue_Ey,padj_Ey,logFC_tailocin,AveExpr_tailocin,t_tailocin,P.Value_tailocin,adj.P.Val_tailocin,Significance_for_both,Category,name_p25c2_new
BJEIHDPM_01501,23.5292051363779,0.14829917522172,0.608008458588015,0.765014389182775,-5.259510992,6.373590367,-16.71404939,2.57919060688844E-21,1.13390172685833E-20,Not Significant,Non-Focal Trade-off,DAKCFMEO_05128
BJEIHDPM_01501,23.5292051363779,0.14829917522172,0.608008458588015,0.765014389182775,-5.259510992,6.373590367,-16.71404939,2.57919060688844E-21,1.13390172685833E-20,Not Significant,Non-Focal Trade-off,DAKCFMEO_04485
BJEIHDPM_01502,24.4866998009963,0.12314094846281,0.658158193905698,0.803471252529261,-5.051237446,6.476976512,-17.62560686,3.02279727104632E-22,1.70663577691192E-21,Not Significant,Non-Focal Trade-off,DAKCFMEO_05129
BJEIHDPM_01503,52.132331305363,0.266906009996135,0.376125741520734,0.591434469882426,-5.430133034,7.332813777,-21.03317008,1.97401872123999E-25,3.61576940581325E-24,Not Significant,Non-Focal Trade-off,DAKCFMEO_05130
BJEIHDPM_01504,4.59626154390574,-0.65642102127552,0.311370571601276,0.52835044561513,-4.074514816,3.826324433,-8.795598569,1.8256283621267E-11,2.20019852080513E-11,Not Significant,Mutual Detriment,DAKCFMEO_05131
BJEIHDPM_01505,51.1185940873124,0.414973077015917,0.196914543217605,0.402420076839653,-5.390056476,7.338976495,-18.67324549,2.84238244590444E-23,2.18170069918553E-22,Not Significant,Non-Focal Trade-off,DAKCFMEO_05132
BJEIHDPM_01506,23.760369881313,0.940696516131977,0.011159983173224,0.0640799033817379,-5.667525313,5.998149773,-15.71271133,3.00165075763073E-20,1.00874803822618E-19,Significant,Non-Focal Trade-off,DAKCFMEO_05133
BJEIHDPM_01507,28.7027042251663,0.197808497381922,0.491656846267665,0.685316512416948,-4.89046359,6.614119711,-20.95515211,2.30956561256577E-25,4.05992870868247E-24,Not Significant,Non-Focal Trade-off,DAKCFMEO_05134
BJEIHDPM_01508,52.3401625208699,1.07675422398607,0.000206485658061274,0.00359137683294771,-5.045152037,7.317402153,-20.23833559,9.99431999791535E-25,1.37429059226349E-23,Significant,Non-Focal Trade-off,DAKCFMEO_05135
BJEIHDPM_01510,10.2361372374379,0.283890196238995,0.446591017738342,0.649454257822098,-6.648488079,5.125707819,-15.54619499,4.56222565480344E-20,1.46940408841622E-19,Not Significant,Non-Focal Trade-off,DAKCFMEO_05137
BJEIHDPM_01511,8.38557929433371,0.0444787062016607,0.93074622862034,0.96630404604503,-5.029965197,4.86846581,-12.38189484,2.41307945218513E-16,3.92023300305904E-16,Not Significant,Non-Focal Trade-off,DAKCFMEO_05138
BJEIHDPM_01512,15.0071998081066,0.0443063260295272,0.893577441248983,0.946117879165481,-4.861011008,5.68563898,-13.46823782,1.10834333423301E-17,2.16481060683118E-17,Not Significant,Non-Focal Trade-off,DAKCFMEO_05139
BJEIHDPM_01513,22.5889561869457,0.854749858336557,0.0161973148567727,0.0834478160493644,-5.139094052,6.152855035,-15.32247686,8.04561978098407E-20,2.43448482528011E-19,Significant,Non-Focal Trade-off,DAKCFMEO_05140
BJEIHDPM_01514,54.8654539515481,0.807426079062047,0.00854831478673226,0.053406718905061,-5.180686302,7.188765436,-20.33111695,8.24881344210879E-25,1.17466040678576E-23,Significant,Non-Focal Trade-off,DAKCFMEO_05141
BJEIHDPM_01514,54.8654539515481,0.807426079062047,0.00854831478673226,0.053406718905061,-5.180686302,7.188765436,-20.33111695,8.24881344210879E-25,1.17466040678576E-23,Significant,Non-Focal Trade-off,DAKCFMEO_05141
BJEIHDPM_01515,7.47541350660292,0.87335252579415,0.0541777579537995,0.184059283661541,-5.078261822,4.769949212,-11.36574279,4.93496174156478E-15,7.05057499189324E-15,Not Significant,Non-Focal Trade-off,DAKCFMEO_05142
BJEIHDPM_01516,21.6060823033009,0.706714818400116,0.0263796608249732,0.114806347844627,-4.973719816,6.139325064,-16.86783232,1.78586895501762E-21,8.2091811447601E-21,Significant,Non-Focal Trade-off,DAKCFMEO_05143
BJEIHDPM_01519,17.0565836761954,0.126028509276395,0.706195298820417,0.83483521666147,-4.910145457,6.15838139,-13.52530357,9.46603567206364E-18,1.8694446580343E-17,Not Significant,Non-Focal Trade-off,DAKCFMEO_05146
BJEIHDPM_01520,23.4776767197337,0.449138157950011,0.132332072874255,0.317027038648955,-5.12238644,6.570599445,-15.72664648,2.89871040447055E-20,9.76204296916084E-20,Not Significant,Non-Focal Trade-off,DAKCFMEO_05147
BJEIHDPM_01521,10.6902689155669,-0.146237379010568,0.684950270664225,0.818250865347697,-5.363220362,5.499917776,-14.57485747,5.58269888382223E-19,1.39538395538869E-18,Not Significant,Mutual Detriment,DAKCFMEO_05148
BJEIHDPM_01522,30.4759584683904,0.37936076100815,0.207590089519804,0.413785396803192,-5.221617377,6.844053252,-16.53416507,3.97704373624704E-21,1.65245306409087E-20,Not Significant,Non-Focal Trade-off,DAKCFMEO_05149
BJEIHDPM_01523,86.5740901079516,0.834476412707793,0.000199531529682429,0.00351649626569033,-4.813056936,8.256877817,-21.04330123,1.93425116244022E-25,3.58396576391916E-24,Significant,Non-Focal Trade-off,DAKCFMEO_05150
BJEIHDPM_01524,53.7880222057336,1.03164326413743,0.000595161474447307,0.00811791129897476,-5.302668398,7.264051083,-18.87683611,1.81670697063914E-23,1.52419173987714E-22,Significant,Non-Focal Trade-off,DAKCFMEO_05151
BJEIHDPM_01524,53.7880222057336,1.03164326413743,0.000595161474447307,0.00811791129897476,-5.302668398,7.264051083,-18.87683611,1.81670697063914E-23,1.52419173987714E-22,Significant,Non-Focal Trade-off,DAKCFMEO_05151
BJEIHDPM_01525,35.7710889177312,0.627042675377908,0.0327229100990603,0.132195294456781,-5.336705461,6.736973782,-19.8133305,2.42971580771773E-24,2.79621250869003E-23,Significant,Non-Focal Trade-off,DAKCFMEO_05152
