"","strain","ecotype","batch","replicate","lux_0dpi","lux_7dpi","log_lux_7dpi","log_lux_0dpi","fold_change_7dpi","normalized_value_7dpi"
"460","spsA","Col0","3",6,531,67.33333333,1.82823011470546,2.72509452108147,0.670886863028853,-0.160506792343172
"461","spsA","Col0","3",5,531,86,1.93449845124357,2.72509452108147,0.709883065074694,-0.121510590297332
"462","spsA","Col0","3",8,531,64.33333333,1.80843605426561,2.72509452108147,0.66362323958874,-0.167770415783286
"463","spsA","Col0","3",7,531,80,1.90308998699194,2.72509452108147,0.698357422933239,-0.133036232438786
"464","tagH","Col0","3",1,659,61.33333333,1.78769656826627,2.81888541459401,0.63418561074209,-0.197208044629936
"465","tagH","Col0","3",7,659,66.33333333,1.82173182166822,2.81888541459401,0.646259621706048,-0.185134033665978
"466","tagH","Col0","3",2,659,108.6666667,2.0360963454815,2.81888541459401,0.722305466884238,-0.109088188487787
"467","tagH","Col0","3",3,659,67,1.82607480270083,2.81888541459401,0.64780029484236,-0.183593360529666
"468","tagH","Col0","3",6,659,58.33333333,1.76591679394182,2.81888541459401,0.626459232716329,-0.204934422655696
"469","tagH","Col0","3",4,659,56.33333333,1.75076544986831,2.81888541459401,0.621084291260724,-0.210309364111301
"470","tagH","Col0","3",5,659,68.66666667,1.83674596567057,2.81888541459401,0.651585891416984,-0.179807763955041
"471","tagH","Col0","3",8,659,59,1.77085201164214,2.81888541459401,0.62821000189438,-0.203183653477645
"472","WT","Col0","3",1,256,99.66666667,1.99854993361929,2.40823996531185,0.82987989669065,-0.00151375868137549
"473","WT","Col0","3",2,256,510.6666667,2.70813751060527,2.40823996531185,1.12452976016225,0.293136104790221
"474","WT","Col0","3",8,256,102,2.00860017176192,2.40823996531185,0.834053167746437,0.00265951237441153
"475","WT","Col0","3",3,256,78.33333333,1.89394660753359,2.40823996531185,0.786444305722806,-0.0449493496492189
"476","WT","Col0","3",4,256,98,1.9912260756925,2.40823996531185,0.826838730514401,-0.00455492485762432
"477","WT","Col0","3",5,256,122,2.08635983067475,2.40823996531185,0.866342167195361,0.0349485118233355
"478","WT","Col0","3",6,256,77,1.88649072517248,2.40823996531185,0.783348317586863,-0.0480453377851627
"479","WT","Col0","3",7,256,1088,3.03662889536216,2.40823996531185,1.26093285515629,0.429539199784267
"480","buffer","Col0","4",6,60,62.33333333,1.79472035179361,1.77815125038364,1.0093181619991,NA
"481","buffer","Col0","4",9,60,52.33333333,1.71877839766191,1.77815125038364,0.966609784905011,NA
